account_id,risk_score,triggered_patterns,evidence
ACC002788,47,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 178min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC004102,47,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 186min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC000268,47,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min | fan_in_aggregation: one of 6 accounts feeding a common recipient within 400min
ACC001448,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC000131,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC003871,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC001400,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC000350,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min | fan_in_aggregation: one of 6 accounts feeding a common recipient within 400min
ACC002920,46,fan_in_aggregation;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 2587 (55.7x its own typical transaction size), forwarded 2509 within 2h"
ACC000707,46,rapid_passthrough,"rapid_passthrough: received 2936 (87.4x its own typical transaction size), forwarded 2848 within 2h"
ACC004529,46,rapid_passthrough,"rapid_passthrough: received 2873 (85.1x its own typical transaction size), forwarded 2787 within 2h"
ACC003372,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC004867,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC000316,46,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC002634,45,fan_in_aggregation;rapid_passthrough,"fan_in_aggregation: one of 11 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 109 (3.8x its own typical transaction size), forwarded 829 within 2h"
ACC002442,45,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC001876,45,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC002749,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC001130,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC004480,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 8 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC004822,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC004368,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC003140,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC000742,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC001403,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC001925,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC000556,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC004398,44,fan_in_aggregation;layering_chain,fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | layering_chain: part of 4-hop rapid P2P transfer chain
ACC000010,43,rapid_passthrough,"rapid_passthrough: received 3864 (75.1x its own typical transaction size), forwarded 3748 within 2h"
ACC004672,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 106min
ACC001775,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 99min
ACC004596,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC004329,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC004063,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 106min
ACC003112,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 106min
ACC001228,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min
ACC002184,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 99min
ACC002251,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC001746,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min | fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min
ACC001135,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 99min
ACC001653,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 99min
ACC001044,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 99min
ACC001427,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC001613,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC000978,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC000907,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC003772,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC003867,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC001316,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC001393,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min
ACC000366,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min
ACC002571,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 106min
ACC000728,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min
ACC000429,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min
ACC004741,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 106min
ACC003080,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC002038,42,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 108min
ACC003035,41,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 115min
ACC003374,41,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 115min
ACC001592,41,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 115min
ACC003158,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 130min
ACC002559,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 130min
ACC000003,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC001542,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 132min
ACC000929,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 132min
ACC004134,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 130min
ACC002456,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 145min
ACC003559,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 132min
ACC001145,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 132min
ACC002380,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC003675,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 130min
ACC003153,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC003845,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC001293,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC003705,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 145min
ACC000009,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 145min
ACC004785,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 132min
ACC003515,40,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 142min
ACC004290,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min | fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 168min
ACC001538,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC001499,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC002638,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC000760,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 158min
ACC004816,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 160min
ACC001330,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC002281,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC003802,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC004688,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 168min
ACC003097,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 158min
ACC001555,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 158min
ACC004408,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 168min
ACC004204,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC003104,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 168min
ACC003014,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 160min
ACC001022,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 160min
ACC001163,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC001766,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC003602,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 166min
ACC000933,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 158min
ACC001901,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC000265,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 155min
ACC000676,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 168min
ACC002222,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 155min
ACC000594,39,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min
ACC003847,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC000399,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 172min
ACC002699,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC000501,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC002735,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC000901,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC001270,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 183min
ACC004893,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 189min
ACC004231,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 189min
ACC002463,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 189min
ACC000630,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 189min
ACC002452,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 189min
ACC000549,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC001442,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC000716,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC002906,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 186min
ACC000761,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 178min
ACC001431,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 186min
ACC002177,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 178min
ACC004299,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 186min
ACC004548,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min
ACC004632,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min
ACC001001,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min
ACC003548,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC004651,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 172min
ACC001277,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 172min
ACC000312,38,rapid_passthrough,"rapid_passthrough: received 4629 (60.0x its own typical transaction size), forwarded 4490 within 2h"
ACC004291,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 175min
ACC002712,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 175min
ACC002902,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 175min
ACC004390,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 175min
ACC000498,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min
ACC001336,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 178min
ACC000112,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 178min
ACC000110,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min
ACC002284,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC001861,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC001676,38,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 170min
ACC000105,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min
ACC004394,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min
ACC001522,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min
ACC001071,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min
ACC002472,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min
ACC000518,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 206min
ACC003650,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min
ACC004658,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min
ACC003441,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min
ACC003639,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min
ACC001710,37,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 207min
ACC001151,36,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min
ACC002208,36,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min
ACC004780,36,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min
ACC000376,36,fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 213min
EXTERNAL_CASHOUT_70,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC004457,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC003872,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_34,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_42,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC003881,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001354,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_94,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_14,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_82,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC000961,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC000448,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_50,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_98,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC004997,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_30,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_2,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001333,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_46,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_54,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001184,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_6,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC000154,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_18,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_106,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001047,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_22,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC000914,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_90,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_102,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_62,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_26,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_86,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC003835,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_10,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain
ACC002602,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001990,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_66,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_78,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_38,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_58,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
EXTERNAL_CASHOUT_74,35,layering_chain,layering_chain: part of 4-hop rapid P2P transfer chain
ACC001803,33,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 4 rapid recipients from a single source within 141min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC002599,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC003456,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC001973,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
MERCHANT_FUEL_33,32,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 4 rapid recipients from a single source within 107min | fan_in_aggregation: received from 4 accounts within 400min (5.0x its own baseline rate); no rapid cash-out observed
ACC001486,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC003294,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC004839,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000521,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000404,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC002866,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000778,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC003243,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 11 accounts feeding a common recipient within 400min
ACC001195,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC003195,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001791,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC004073,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001137,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC003081,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC003490,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC004438,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC002229,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC002646,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000343,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC004913,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001879,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC001139,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC003521,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000385,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001536,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC003464,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC000838,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC001343,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001255,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC004497,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC003339,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC002195,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC004944,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000628,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min
ACC003671,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC001141,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000893,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC004888,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC004283,32,fan_in_aggregation,fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
